Log10scanRate,Log10kf,Log10keq,peak flux,half peak potential,half peak transfer coefficient
-3.0,2.199999999999969,-7.5003129173815966,-0.018536984020993443,-1.7000000000002913,-0.38333924817380555
-3.0,3.199999999999996,-7.5003129173815966,-0.03677678058098363,-3.18500000000026,-0.3084987625417904
-3.0,4.199999999999999,-7.5003129173815966,-0.07569828249162885,-5.1250000000002185,-0.2456710361158754
-3.0,5.2,-7.5003129173815966,-0.14646260441183426,-7.46000000000017,-0.1775615455353512
-3.0,0.3999999999983436,-7.5003129173815966,-0.0078937622385528,-0.3650000000003058,-0.4858831150509775
-3.0,1.4000000000000725,-7.5003129173815966,-0.011741509821538385,-0.9100000000003062,-0.44664861992668353
-3.0,2.4000000000000727,-7.5003129173815966,-0.021104829910989987,-1.9550000000002856,-0.3664093200648189
-3.0,3.4000000000000035,-7.5003129173815966,-0.04246842409426742,-3.5350000000002524,-0.29645038199640006
-3.0,4.4,-7.5003129173815966,-0.0872438800280142,-5.570000000000209,-0.23169489915799307
-3.0,5.4,-7.5003129173815966,-0.16312740771403805,-7.91500000000016,-0.1668684102997844
-3.0,0.5999999999961848,-7.5003129173815966,-0.00840915926905216,-0.4450000000003059,-0.48117330614681775
-3.0,1.5999999999994576,-7.5003129173815966,-0.013021354762123757,-1.0750000000003046,-0.4325516656945986
-3.0,2.600000000000003,-7.5003129173815966,-0.02413780541077344,-2.2300000000002798,-0.350578958071964
-3.0,3.600000000000003,-7.5003129173815966,-0.04907826670469445,-3.910000000000245,-0.28391099493457406
-3.0,4.6000000000000005,-7.5003129173815966,-0.10023560286433013,-6.030000000000199,-0.2175542881948946
-3.0,5.6000000000000005,-7.5003129173815966,-0.17960672791254312,-8.345000000000214,-0.15775472810975386
-3.0,0.7999999999998669,-7.5003129173815966,-0.009030188688470098,-0.5350000000003059,-0.47581148330459966
-3.0,1.799999999999867,-7.5003129173815966,-0.01454942807487282,-1.2600000000003009,-0.4171381049743158
-3.0,2.8000000000000047,-7.5003129173815966,-0.027706415976431743,-2.530000000000274,-0.3353654122370991
-3.0,3.7999999999999976,-7.5003129173815966,-0.05673156975311354,-4.295000000000236,-0.27178028157257694
-3.0,4.800000000000001,-7.5003129173815966,-0.114602140454211,-6.505000000000188,-0.2034042602509566
-3.0,5.800000000000001,-7.5003129173815966,-0.19540875839826866,-8.735000000000273,-0.15043028128498429
-3.0,-2.0,-7.333482019445119,-0.00697550320396591,-0.020000000000305582,-0.494460254976268
-3.0,-1.8000000006743975,-7.333482019445119,-0.007021772114930429,-0.02500000000030558,-0.4948626245487019
-3.0,-1.600000000261,-7.333482019445119,-0.0070796503762132965,-0.03500000000030558,-0.49441442269250424
-3.0,-1.3999999995129109,-7.333482019445119,-0.007151946269288895,-0.045000000000305566,-0.49445320700174333
-3.0,-1.200000000330522,-7.333482019445119,-0.007242095502058748,-0.060000000000305566,-0.49383204212619014
-3.0,-1.0,-7.333482019445119,-0.007354277790089878,-0.07500000000030557,-0.49391926232196637
-3.0,-0.8000000001263549,-7.333482019445119,-0.007493545790718707,-0.09000000000030559,-0.4948480081661781
-3.0,-0.5999999999152085,-7.333482019445119,-0.0076659650143583455,-0.1150000000003056,-0.49426165773368735
-3.0,-0.3999999999492702,-7.333482019445119,-0.007878763360404705,-0.14500000000030566,-0.4935641696232041
-3.0,-0.19999999998636683,-7.333482019445119,-0.008140490381660394,-0.18000000000030567,-0.4929094441163957
-3.0,0.0,-7.333482019445119,-0.00846119004540553,-0.2250000000003057,-0.4911989316810579
-3.0,0.20000000001065574,-7.333482019445119,-0.008852597528152449,-0.2750000000003057,-0.4898051072125216
-3.0,1.0,-7.333482019445119,-0.011435234564720544,-0.595000000000306,-0.4721064005054738
-3.0,2.0,-7.333482019445119,-0.01883018941934528,-1.3700000000002983,-0.4109825398542365
-3.0,3.0,-7.333482019445119,-0.036276476448821086,-2.665000000000271,-0.33600293633339545
-3.0,4.0,-7.333482019445119,-0.07414487295115213,-4.395000000000234,-0.278281633151997
-3.0,5.0,-7.333482019445119,-0.1484900170461276,-6.505000000000188,-0.21252270326039832
-3.0,6.0,-7.333482019445119,-0.25246077783309856,-8.630000000000258,-0.15779206976705792
-3.0,1.1999999999996949,-7.333482019445119,-0.012437809972420869,-0.7150000000003061,-0.46283091202642584
-3.0,2.199999999999969,-7.333482019445119,-0.021261268918584462,-1.5850000000002935,-0.3953648963252385
-3.0,3.199999999999996,-7.333482019445119,-0.04177711192281144,-2.9800000000002633,-0.3237899232123501
-3.0,4.199999999999999,-7.333482019445119,-0.0855538857267454,-4.785000000000227,-0.26631991929198084
-3.0,5.2,-7.333482019445119,-0.16840012968593024,-6.9600000000001785,-0.1990329225334662
-3.0,0.3999999999983436,-7.333482019445119,-0.009328380759466121,-0.3350000000003058,-0.48759403508736154
-3.0,1.4000000000000725,-7.333482019445119,-0.01363816119990168,-0.8450000000003062,-0.45329934363930807
-3.0,2.4000000000000727,-7.333482019445119,-0.02414535990363559,-1.8250000000002888,-0.37921626742460296
-3.0,3.4000000000000035,-7.333482019445119,-0.04818210435327218,-3.315000000000257,-0.31190200925045763
-3.0,4.4,-7.333482019445119,-0.09860584370274016,-5.195000000000217,-0.25342760488967647
-3.0,5.4,-7.333482019445119,-0.1893726816182112,-7.410000000000171,-0.1865041289608755
-3.0,0.5999999999961848,-7.333482019445119,-0.009904459373158795,-0.41000000000030573,-0.4834429731998812
-3.0,1.5999999999994576,-7.333482019445119,-0.01507327246172295,-1.0000000000003062,-0.4405604557587962
-3.0,2.600000000000003,-7.333482019445119,-0.02755459618630607,-2.0850000000002837,-0.3638436893673226
-3.0,3.600000000000003,-7.333482019445119,-0.05561643614551814,-3.6600000000002497,-0.30083824765916956
-3.0,4.6000000000000005,-7.333482019445119,-0.11343038841513525,-5.615000000000207,-0.2403085331225048
-3.0,5.6000000000000005,-7.333482019445119,-0.21081380540114952,-7.84500000000016,-0.17532306480494794
-3.0,0.7999999999998669,-7.333482019445119,-0.010599443486871528,-0.4950000000003059,-0.47865068980716563
-3.0,1.799999999999867,-7.333482019445119,-0.01678693729400348,-1.1750000000003025,-0.42625466144559554
-3.0,2.8000000000000047,-7.333482019445119,-0.03156873382609958,-2.3650000000002773,-0.3494476132503473
-3.0,3.7999999999999976,-7.333482019445119,-0.06421959437543437,-4.020000000000242,-0.2897267657765807
-3.0,4.800000000000001,-7.333482019445119,-0.1300831355357109,-6.055000000000199,-0.226414509379831
-3.0,5.800000000000001,-7.333482019445119,-0.23205696893263236,-8.255000000000196,-0.16571740728491283
-3.0,-2.0,-7.166852888087215,-0.008424914842489153,-0.020000000000305582,-0.4938630233517396
-3.0,-1.8000000006743975,-7.166852888087215,-0.008475883399216521,-0.02500000000030558,-0.4941212922275894
-3.0,-1.600000000261,-7.166852888087215,-0.008539673268723106,-0.03000000000030558,-0.4947452776606911
-3.0,-1.3999999995129109,-7.166852888087215,-0.00861940251207255,-0.040000000000305576,-0.4945665715768586
-3.0,-1.200000000330522,-7.166852888087215,-0.008718893655767236,-0.05000000000030557,-0.49493362629947435
-3.0,-1.0,-7.166852888087215,-0.008842807875830753,-0.06500000000030556,-0.4947069983218259
-3.0,-0.8000000001263549,-7.166852888087215,-0.008996794526481739,-0.08500000000030558,-0.49401314054238155
-3.0,-0.5999999999152085,-7.166852888087215,-0.009187654495984878,-0.1050000000003056,-0.49424420935277835
-3.0,-0.3999999999492702,-7.166852888087215,-0.009423515518122564,-0.13500000000030565,-0.4930522539535427
-3.0,-0.19999999998636683,-7.166852888087215,-0.009714018455322488,-0.16500000000030565,-0.4930889036844017
-3.0,0.0,-7.166852888087215,-0.010070516682009029,-0.2050000000003057,-0.4920114363371648
-3.0,0.20000000001065574,-7.166852888087215,-0.010506297196750185,-0.2550000000003057,-0.48997029574573814
-3.0,1.0,-7.166852888087215,-0.013392779844016251,-0.5500000000003059,-0.4756132570830469
-3.0,2.0,-7.166852888087215,-0.02168015618035026,-1.2750000000003003,-0.4208699166423192
